Date,Open,High,Low,Close,Volume,Market_Trend,Año,Rendimiento_%,Volatilidad,Media_Movil_6M,Epoca
2015-04-01,1183.76,1224.13,1175.14,1183.97,1558122.0,ALCISTA,2015,0.01774008244914817,48.99000000000001,1204.9808333333333,2. Recuperación (2012-2019)
2015-05-01,1184.55,1232.22,1169.66,1190.42,1417118.0,BAJISTA,2015,0.49554683213035483,62.559999999999945,1206.855,2. Recuperación (2012-2019)
2015-06-01,1190.47,1205.68,1162.63,1171.83,1447697.0,BAJISTA,2015,-1.5657681419943468,43.049999999999955,1204.355,2. Recuperación (2012-2019)
2015-07-01,1174.14,1175.0,1069.72,1095.48,1707709.0,ALCISTA,2015,-6.699371454852068,105.27999999999997,1173.0083333333332,2. Recuperación (2012-2019)
2015-08-01,1095.72,1170.01,1080.94,1134.71,2182851.0,BAJISTA,2015,3.558390829774031,89.06999999999994,1159.9966666666667,2. Recuperación (2012-2019)
2015-09-01,1134.6,1156.65,1098.71,1114.47,1913945.0,ALCISTA,2015,-1.7741935483870863,57.940000000000055,1148.48,2. Recuperación (2012-2019)
2015-10-01,1115.56,1191.44,1104.59,1141.74,2073778.0,BAJISTA,2015,2.3468033991896506,86.85000000000014,1141.4416666666666,2. Recuperación (2012-2019)
2015-11-01,1141.45,1142.94,1052.67,1064.37,2017243.0,BAJISTA,2015,-6.752814402733379,90.26999999999998,1120.4333333333334,2. Recuperación (2012-2019)
2015-12-01,1064.81,1088.78,1046.23,1060.81,2275284.0,ALCISTA,2015,-0.3756538725218584,42.549999999999955,1101.93,2. Recuperación (2012-2019)
2016-01-01,1064.88,1127.94,1061.66,1117.99,2991334.0,ALCISTA,2016,4.987416422507691,66.27999999999997,1105.6816666666666,2. Recuperación (2012-2019)
2016-02-01,1115.86,1263.34,1115.86,1175.2150000000001,3295834.0,ALCISTA,2016,5.319215672216967,147.48000000000002,1112.4325,2. Recuperación (2012-2019)
2016-03-01,1239.05,1283.36,1208.15,1232.44,2329473.0,BAJISTA,2016,-0.5334732254549777,75.20999999999981,1132.0941666666668,2. Recuperación (2012-2019)
2016-04-01,1231.56,1296.62,1208.93,1293.68,1745947.0,ALCISTA,2016,5.044009224073543,87.68999999999983,1157.4175000000002,2. Recuperación (2012-2019)
2016-05-01,1292.65,1303.65,1199.62,1215.08,1994379.0,ALCISTA,2016,-6.0008509650717645,104.0300000000002,1182.5358333333334,2. Recuperación (2012-2019)
2016-06-01,1216.02,1358.25,1205.91,1321.58,2355686.0,BAJISTA,2016,8.680778276673076,152.33999999999992,1225.9975000000002,2. Recuperación (2012-2019)
2016-07-01,1322.58,1375.05,1310.77,1351.11,3166486.0,ALCISTA,2016,2.1571473937304337,64.27999999999997,1264.8508333333334,2. Recuperación (2012-2019)
2016-08-01,1350.61,1367.21,1304.16,1308.81,2591539.0,BAJISTA,2016,-3.094897860966523,63.049999999999955,1287.1166666666666,2. Recuperación (2012-2019)
2016-09-01,1309.79,1352.51,1302.41,1315.89,2290565.0,BAJISTA,2016,0.46572351292956404,50.09999999999991,1301.0249999999999,2. Recuperación (2012-2019)
2016-10-01,1317.19,1319.52,1241.3,1276.87,2131220.0,DESCONOCIDO,2016,-3.061061805813904,78.22000000000003,1298.2233333333331,2. Recuperación (2012-2019)
2016-11-01,1276.63,1337.16,1170.11,1172.62,3212423.0,BAJISTA,2016,-8.147231382624582,167.05000000000018,1291.1466666666668,2. Recuperación (2012-2019)
2016-12-01,1173.73,1187.93,1122.62,1151.32,2214374.0,ALCISTA,2016,-1.909297709013153,65.31000000000017,1262.7699999999998,2. Recuperación (2012-2019)
2017-01-01,1151.67,1219.4,1145.95,1210.36,2743673.0,DESCONOCIDO,2017,5.096077869528582,73.45000000000005,1239.3116666666665,2. Recuperación (2012-2019)
2017-02-01,1210.48,1263.79,1198.1,1248.0,2321136.0,BAJISTA,2017,3.099596854140505,65.69000000000005,1229.1766666666665,2. Recuperación (2012-2019)
2017-03-01,1248.5,1260.97,1194.91,1248.96,1877001.0,DESCONOCIDO,2017,0.03684421305566971,66.05999999999995,1218.0216666666665,2. Recuperación (2012-2019)
2017-04-01,1247.94,1295.45,1243.65,1267.99,1535729.0,,2017,1.606647755501062,51.799999999999955,1216.5416666666667,2. Recuperación (2012-2019)
2017-05-01,1268.56,1274.08,1214.23,1268.7,1594868.0,BAJISTA,2017,0.011036135460687713,59.84999999999991,1232.555,2. Recuperación (2012-2019)
2017-06-01,1268.67,1296.01,1236.01,1241.43,1503081.0,ALCISTA,2017,-2.147130459457543,60.0,1247.5733333333335,2. Recuperación (2012-2019)
2017-07-01,1242.12,1271.04,1204.81,1269.37,1426449.0,ALCISTA,2017,2.193829903713007,66.23000000000002,1257.4083333333333,2. Recuperación (2012-2019)
2017-08-01,1269.47,1325.94,1251.44,1321.41,1791081.0,,2017,4.091471243904941,74.5,1269.6433333333334,2. Recuperación (2012-2019)
2017-09-01,1321.85,1357.42,1275.92,1279.37,1764162.0,BAJISTA,2017,-3.2136778000529573,81.5,1274.7116666666666,2. Recuperación (2012-2019)
2017-10-01,1278.95,1305.91,1260.54,1271.0,2710010.0,,2017,-0.6216036592517336,45.37000000000012,1275.2133333333334,2. Recuperación (2012-2019)
2017-11-01,1270.32,1299.08,1265.37,1274.7,3578014.0,,2017,0.3447950122803789,33.710000000000036,1276.2133333333334,2. Recuperación (2012-2019)
2017-12-01,1275.02,1307.41,1236.37,1302.33,2762608.0,DESCONOCIDO,2017,2.14192718545591,71.04000000000019,1286.3633333333332,2. Recuperación (2012-2019)
2018-01-01,1309.81,1365.92,1305.7,1344.94,3732780.0,ALCISTA,2018,2.68206839159879,60.22000000000003,1298.9583333333333,2. Recuperación (2012-2019)
2018-02-01,1343.39,1361.69,1307.04,1318.08,3816827.0,ALCISTA,2018,-1.8840396310825724,54.65000000000009,1298.4033333333334,2. Recuperación (2012-2019)
2018-03-01,1319.02,1356.84,1302.76,1325.04,3292903.0,ALCISTA,2018,0.4563994480750847,54.07999999999993,1306.015,2. Recuperación (2012-2019)
2018-04-01,1325.8,1365.2,1310.18,1314.98,3197286.0,,2018,-0.8161110273042643,55.01999999999998,1313.345,2. Recuperación (2012-2019)
2018-05-01,1316.11,1325.9,1282.0,1298.24,3318497.0,BAJISTA,2018,-1.357789242540509,43.90000000000009,1317.2683333333334,2. Recuperación (2012-2019)
2018-06-01,1298.89,1309.28,1245.84,1252.74,2229431.0,ALCISTA,2018,-3.553033744196975,63.440000000000055,1309.0033333333333,2. Recuperación (2012-2019)
